iter	Passed	Remaining
819	1955	429
820	1957	426
821	1959	424
822	1961	421
823	1963	419
824	1964	416
825	1966	414
826	1968	411
827	1970	409
828	1972	406
829	1974	404
830	1975	401
831	1977	399
832	1980	396
833	1981	394
834	1983	391
835	1985	389
836	1987	387
837	1988	384
838	1990	381
839	1992	379
840	1994	377
841	1996	374
842	1998	372
843	1999	369
844	2001	367
845	2003	364
846	2005	362
847	2007	359
848	2010	357
849	2012	355
850	2013	352
851	2016	350
852	2018	347
853	2019	345
854	2021	342
855	2024	340
856	2025	337
857	2027	335
858	2029	333
859	2030	330
860	2032	328
861	2035	325
862	2036	323
863	2038	320
864	2041	318
865	2042	316
866	2045	313
867	2047	311
868	2049	308
869	2051	306
870	2053	304
871	2055	301
872	2056	299
873	2058	296
874	2060	294
875	2062	291
876	2064	289
877	2066	287
878	2067	284
879	2069	282
880	2071	279
881	2073	277
882	2075	274
883	2077	272
884	2079	270
885	2080	267
886	2082	265
887	2084	262
888	2085	260
889	2087	258
890	2089	255
891	2091	253
892	2092	250
893	2094	248
894	2096	245
895	2097	243
896	2099	241
897	2101	238
898	2103	236
899	2105	233
900	2107	231
901	2109	229
902	2111	226
903	2113	224
904	2115	222
905	2117	219
906	2118	217
907	2121	214
908	2122	212
909	2124	210
910	2126	207
911	2128	205
912	2130	203
913	2132	200
914	2134	198
915	2136	195
916	2138	193
917	2140	191
918	2141	188
919	2143	186
920	2146	184
921	2147	181
922	2149	179
923	2150	176
924	2152	174
925	2154	172
926	2156	169
927	2159	167
928	2173	166
929	2174	163
930	2176	161
931	2178	158
932	2180	156
933	2182	154
934	2185	151
935	2187	149
936	2189	147
937	2191	144
938	2193	142
939	2194	140
940	2196	137
941	2198	135
942	2200	133
943	2202	130
944	2204	128
945	2206	125
946	2208	123
947	2210	121
948	2212	118
949	2213	116
950	2216	114
951	2218	111
952	2220	109
953	2221	107
954	2224	104
955	2225	102
956	2228	100
957	2230	97
958	2231	95
959	2233	93
960	2236	90
961	2237	88
962	2239	86
963	2241	83
964	2243	81
965	2245	79
966	2247	76
967	2248	74
968	2250	71
969	2252	69
970	2254	67
971	2256	65
972	2258	62
973	2260	60
974	2262	58
975	2264	55
976	2266	53
977	2268	51
978	2269	48
979	2271	46
980	2273	44
981	2275	41
982	2277	39
983	2279	37
984	2281	34
985	2283	32
986	2285	30
987	2287	27
988	2289	25
989	2291	23
990	2293	20
991	2295	18
992	2297	16
993	2299	13
994	2301	11
995	2303	9
996	2305	6
997	2306	4
998	2308	2
999	2310	0
